Unnamed: 0,Name,t,N,Z,l,k,Experiment,xmin,xmax,xmatch,a0_d,B_init
75,132Cs 1g7/2,1,82,50,4,4,-9.68,0.00001,0.1,0.03,695529.6132,-9.68
76,132Cs 2d5/2,1,82,50,2,-3,-8.72,0.00001,0.1,0.03,-61771.28952,-8.72
77,132Cs 2d3/2,1,82,50,2,2,-6.97,0.00001,0.1,0.06,-363.2548403,-3.34
78,132Cs 1h11/2,1,82,50,5,-6,-6.89,0.00001,0.1,0.03,75325975485,-6.89
79,208Pb 1g7/2,1,126,82,4,4,-12,0.00001,0.15,0.03,525360.1633,-12
80,208Pb 2d5/2,1,126,82,2,-3,-9.82,0.00001,0.15,0.03,-99192.52097,-9.82
81,208Pb 1h11/2,1,126,82,5,-6,-9.36,0.00001,0.15,0.03,37789384762,-9.36
82,208Pb 2d3/2,1,126,82,2,2,-8.36,0.00001,0.15,0.04,-557.9575772,-0.61
83,208Pb 3s1/2,1,126,82,0,-1,-8.01,0.0000001,0.15,0.04,46.80214226,-0.82
84,208Pb 1h9/2,1,126,82,5,5,-3.8,0.00001,0.15,0.03,1024593535,-3.8
85,208Pb 2f7/2,1,126,82,3,-4,-2.9,0.00001,0.15,0.02,-419612941.3,-0.79
86,208Pb 1i13/2,1,126,82,6,-7,-2.1,0.00001,0.15,0.03,1.57574E+14,-2.1
87,208Pb 1f5/2,1,126,82,3,3,-0.97,0.00001,0.15,0.04,-12058514.91,2.05
88,208Pb 3p3/2,1,126,82,1,-2,-0.68,0.00001,0.15,0.05,6657046.385,2.52
